Property ID,Owner Id,Locality,Plot size,Propertyusagetype,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
PT-1014-1712819,['6665b707-5376-4a0b-baf5-b5cfc8043242'],['PLC74'],182.3,RESIDENTIAL,,0,0,0,0,0,0,0,0,0,0,678
PT-1014-1423674,['0497eb11-7b4a-4292-bed7-2f889eee2c60'],['PLC68'],200,RESIDENTIAL,,,,,,,,,,,842,703
PT-1014-1581098,['62400182-c012-4ea7-8412-4f122f88c214'],['PLC50'],45,NONRESIDENTIAL.COMMERCIAL,,,,,,0,0,"Demand not generated, hence not paid",0,0,0,1096
PT-1014-1463524,['c4a3c37c-f873-404d-87c7-2c2be0c8d57d'],['PLC96'],688.9,RESIDENTIAL,,,,,,,,,,,2606,2177
PT-1014-1036181,['b3882a75-a014-400b-abe3-bfe5585745cb'],['PLC74'],120,RESIDENTIAL,,,,,,,0,0,0,0,0,436
PT-1014-1458304,['2c8d6aad-5a20-4871-81d6-e81bcf8ac3bc'],['PLC200'],221.7,MIXED,,,,,,,,,,,7262,6122
PT-1014-1240289,['6ea1eb33-3a86-4c46-9ff5-cdf0c391edda'],['PLC112'],18.9,NONRESIDENTIAL.COMMERCIAL,,,,,,,1430,1308,1245,0,1088,926
PT-1014-1521833,['dda807f8-87bb-4c88-9a42-e645df0035c5'],['PLC54'],16.5,NONRESIDENTIAL.COMMERCIAL,,1632,1523,1415,1307,1199,1091,983,875,732,672,672
PT-1014-847495,"['6b974c06-0dcf-4b37-92ab-be64f05cec8e', '61cfc049-cd90-4770-a563-ac6f282bdf6d']",['PLC184'],4239,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,0,"Demand not generated, hence not paid","Demand not generated, hence not paid",57484
PT-1014-1416279,['edf70ee8-f6e6-4932-ac27-87e54310d31f'],['PLC135'],233.4,RESIDENTIAL,,,,,,,,,,,1039,868
PT-1014-1999315,['7c943bfd-21aa-41b8-b8f3-c197a399c71a'],['PLC81'],36,NONRESIDENTIAL.COMMERCIAL,,,,,,,,3090,2938,2764,2563,2205
PT-1014-1457646,['4be7ffc6-f08b-4f0c-8d26-31f080b6f1d7'],['PLC141'],400,RESIDENTIAL,,,,,,,,,,,1187,992
PT-1014-1444741,['3cc50d4d-b662-4e60-848a-459082a7cf06'],['PLC134'],275.6,RESIDENTIAL,,,,,,,,,,,818,683
PT-1014-1475559,['3c2d0000-fc8c-4d4a-bacd-cfc383e9b424'],['PLC31'],124,RESIDENTIAL,,,,,,,,,,,385,321
PT-1014-1412050,['83d3fd48-9447-4760-8af8-19423ffcbdf3'],['PLC158'],133.4,RESIDENTIAL,,,,,,,,,,,,496
