Property ID,Owner Id,Locality,Plot size,Propertyusagetype,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
PT-1014-1483913,['0b8e10ae-f1cb-4e09-a502-8e9a8b120d7c'],['PLC155'],110,RESIDENTIAL,,,,,,,,,,,351,293
PT-1014-1397868,['5d1de14b-b573-439b-9d59-f1d496c8420b'],['PLC97'],261.1,RESIDENTIAL,,,,,,,,,,,775,647
PT-1014-1030756,['3e9d1aee-1c5e-4af4-b635-199e7b728536'],['PLC31'],50,MIXED,,,,,,,,385,366,345,320,273
PT-1014-1488627,['7443dd01-b086-459f-a1f6-c282055404a1'],['PLC138'],122,NONRESIDENTIAL.COMMERCIAL,,,,,0,"Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0,0,0
PT-1014-995203,['91045b02-a105-43e5-b0c3-7e3c52ab8d6b'],['PLC54'],21,NONRESIDENTIAL.COMMERCIAL,,,,0,0,0,0,0,0,"Demand not generated, hence not paid",0,0
PT-1014-1412830,"['914be094-62c1-4b55-b9c8-8e606bbe6b78', 'bf2e8ba4-4a97-4543-bec4-9cb8ebfad92a']",['PLC142'],55,NONRESIDENTIAL.COMMERCIAL,,,,,,,,,,,4574,3858
PT-1014-1376085,['2aa86a7b-9ef5-4964-97c0-3455c2e139b1'],['PLC52'],111.2,RESIDENTIAL,,,,,,,,,,,373,311
PT-1014-1217355,['45639b10-b05e-4210-9920-5ccd61758f11'],['PLC182'],26,NONRESIDENTIAL.COMMERCIAL,,,,,,,,,,2405,2234,1901
PT-1014-1774458,"['f2c1f36b-2022-496b-a904-3cfe408ba7b7', '9120b652-19c5-497a-82c7-8df9ef14dc9a', '0017d07e-a114-4710-8dd0-2a317ddc2aeb', 'dd6cb696-b515-4224-b840-44340bd78d0f', '7de58063-fe52-4974-8d3c-c7df0e8e669f']",['PLC67'],107,MIXED,0,0.78,0.78,0.78,0.78,0.79,0.78,0.78,1148,654.11,0,0
PT-1014-783276,['f066a2ff-0492-4602-bbb5-f7384e8015cc'],['PLC67'],25.23,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,"Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,0
PT-1014-1221249,['471a36c7-8b7f-49d1-ac86-c30966da27e6'],['PLC38'],60,RESIDENTIAL,,,,,,,,0,0,0,267,223
PT-1014-990086,['e31dad11-ae93-4728-9c28-7f76b9f4e541'],['PLC75'],186,RESIDENTIAL,,,,,,,,0,481,450,414,346
PT-1014-847049,['03e1e1ab-6da8-401d-a04b-53256bd46cf2'],['PLC130'],80,RESIDENTIAL,,,,,,,0,0,0,0,297,248
PT-1014-1414621,['5441bab0-0200-4cf3-b5fa-fecba0a22726'],['PLC88'],100,RESIDENTIAL,,,,,,,,,,,313,262
PT-1014-1755891,['efe69c47-6c86-4643-9518-3a4c5b69558c'],['PLC113'],116.4,RESIDENTIAL,0,0,0,0,0,0,0,0,0,0,0,390
