Property ID,Owner Id,Locality,Plot size,Propertyusagetype,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,YearOfConstruction
PT-1014-052724,"['be839135-edf6-4fed-84be-a13141b60f8c', 'db6e198a-ab8c-4a20-8001-08336a973543']",['PLC11'],378.0,RESIDENTIAL,,,,,,0,"Demand not generated, hence not paid",0,0,0,0,0,
PT-1014-1000075,['7dfc1890-3b94-4309-aef1-fc9cfe139c32'],['PLC16'],14.3,NONRESIDENTIAL.COMMERCIAL,,,,,0,0,0,0,995,943,882,761,
PT-1014-1000137,['aff396f2-d29b-4ddb-b359-171eec289125'],['PLC207'],100.0,RESIDENTIAL,,,,,,,,0,0,276,256,218,
PT-1014-1000391,"['c3bab66c-8056-43e7-b8c3-7b9755d77afc', '131ac8d6-2e63-4eee-b6bc-f0837f44f27c']",['PLC57'],33.4,NONRESIDENTIAL.COMMERCIAL,,,,,,,,0,"Demand not generated, hence not paid","Demand not generated, hence not paid",0,0,
PT-1014-1000444,['a12119c7-0c74-4d8b-bb1f-80f5eba95548'],['PLC131'],800.0,RESIDENTIAL,,,,,,0,0,0,0,0,0,0.18,
PT-1014-1000458,['feb0c0f5-6ae0-40f1-839b-4974c3d002f1'],['PLC131'],460.0,RESIDENTIAL,,,,,,0,0,0,0,0,0,0.69,
PT-1014-1000465,['f9b625e6-1ba5-4e0e-9dd1-a245e5ad6b43'],['PLC81'],140.0,RESIDENTIAL,,,,,,0,0,0,0,0,0,0.67,
PT-1014-1001170,"['60de3628-f95f-41a2-a4a2-7fdfbc1002ff', '8b6e5280-465d-4455-8e06-c8aa0454c8b9']",['PLC40'],120.0,RESIDENTIAL,,,,,0,0,0,0,621,581,534,446,
PT-1014-1001193,['990d405f-c26b-4bce-8bc2-233c5592524f'],['PLC123'],10.0,NONRESIDENTIAL.COMMERCIAL,,0,0,0,0,0,0,0,523,496,464,400,
PT-1014-1001307,['1f2298aa-f869-4b0b-8368-1dd069b3eae3'],['PLC2'],292.0,RESIDENTIAL,,,,,,,,0,1107,1035,953,796,
PT-1014-1001321,['07ef887d-bfee-4267-8993-cbef26edaede'],['PLC82'],150.0,RESIDENTIAL,0.0,0,0,0,0,0,0,0,0,126.33,175.44,0,
PT-1014-1001528,"['8966fcab-201a-41d4-966e-ba1a4d3a01ff', 'b206d80c-8761-4f9f-9b7a-d71723841361', '26583299-ae1e-4ea3-99c6-f010bc252ccf', '011a2944-9769-414d-87ec-ee7617325c71', '596fddef-b496-47d0-a252-c44243ee4595']",['PLC142'],620.0,NONRESIDENTIAL.COMMERCIAL,,,,,,,0,0,9205,9011,8839,8495,
