Property ID,Owner Id,Locality,Plot size,Propertyusagetype,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,IsDefaulter
PT-1014-052724,"['be839135-edf6-4fed-84be-a13141b60f8c', 'db6e198a-ab8c-4a20-8001-08336a973543']",['PLC11'],378.0,RESIDENTIAL,,,,,,0.0,"Demand not generated, hence not paid",0.0,0.0,0.0,0.0,0.0,Yes
PT-1014-1000000,['1d959120-e80d-4ade-a0c0-f095ab257da8'],['PLC96'],25.0,RESIDENTIAL,,,,,,,,0.0,0.0,0.0,0.0,0.0,No
PT-1014-1000004,['60652dbe-5651-4438-a30b-232f9b4283c2'],['PLC184'],191.0,RESIDENTIAL,,,,,,,,0.0,0.0,0.0,0.0,0.0,No
PT-1014-1000006,['1669d24b-4a9c-4876-b3a8-eecb0ab5f856'],['PLC184'],94.0,MIXED,,,,,,,,0.0,0.0,0.0,0.0,0.0,No
PT-1014-1000007,['f255f425-db97-4d66-8102-8d9e7ab7dfd4'],['PLC184'],100.0,RESIDENTIAL,,,,,,,,0.0,0.0,0.0,0.0,0.0,No
PT-1014-1000075,['7dfc1890-3b94-4309-aef1-fc9cfe139c32'],['PLC16'],14.3,NONRESIDENTIAL.COMMERCIAL,,,,,0.0,0.0,0.0,0.0,995.0,943.0,882.0,760.9999999999999,Yes
PT-1014-1000137,['aff396f2-d29b-4ddb-b359-171eec289125'],['PLC207'],100.0,RESIDENTIAL,,,,,,,,0.0,0.0,276.0,256.0,218.0,Yes
PT-1014-1000293,['e59847e2-335c-4122-a87d-4ccbf26e6bf9'],['PLC28'],24.0,RESIDENTIAL,,,,,,,,0.0,0.0,0.0,0.0,0.0,No
PT-1014-1000302,['4a7e5561-d421-4211-98de-cb311d421b09'],['PLC155'],85.0,RESIDENTIAL,,,,,,,,0.0,0.0,0.0,0.0,0.0,No
PT-1014-1000313,['61580019-29bc-468d-aa3b-b0aa9529f81b'],['PLC98'],80.0,RESIDENTIAL,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,No
PT-1014-1000344,['3ecdb658-0f33-43eb-ae81-7f3c9addb358'],['PLC185'],200.0,RESIDENTIAL,,,,,,,,0.0,0.0,0.0,0.0,0.0,No
