Property ID,Column,Value in File 1,Value in File 2
PT-1014-914250,Owner Id,"['9d63c352-9596-4d5d-bce2-57c5d1bdd38c', 'a246f659-1939-419e-8082-343a2c959c55', '5d9e67b8-b1da-413e-bdbf-635dc3802263', '68c00544-0bdd-4cde-9a12-d0e8beb394ff', 'daadf787-db7d-4355-b714-6a212c2d3335']","['68c00544-0bdd-4cde-9a12-d0e8beb394ff', 'daadf787-db7d-4355-b714-6a212c2d3335', '9d63c352-9596-4d5d-bce2-57c5d1bdd38c', 'a246f659-1939-419e-8082-343a2c959c55', '5d9e67b8-b1da-413e-bdbf-635dc3802263']"
PT-1014-856267,Owner Id,"['adfa9219-8bf5-4872-9a26-fd54b156e8bf', 'dfa12206-ac19-45cc-9e21-fe6c730556a7']","['dfa12206-ac19-45cc-9e21-fe6c730556a7', 'adfa9219-8bf5-4872-9a26-fd54b156e8bf']"
PT-1014-710587,Owner Id,"['3db058c3-1a6e-4a1e-9c55-2e24c906c53f', '5814446e-d5a9-48b5-bb6e-7a3126838fbc', 'a924afee-5841-46c3-88a7-e793acb7c17c', '971ab8f9-1612-404c-92ae-24e4b9018540']","['3db058c3-1a6e-4a1e-9c55-2e24c906c53f', 'a924afee-5841-46c3-88a7-e793acb7c17c', '971ab8f9-1612-404c-92ae-24e4b9018540', '5814446e-d5a9-48b5-bb6e-7a3126838fbc']"
PT-1014-1224959,Owner Id,"['e86a6d6a-e4e6-4add-bc15-fe994840b5d5', '37750543-d3d8-4083-936e-78f05516cd6e', '658c0574-1ddd-4b91-892f-7b56f19b70ad', 'a5eea967-f809-490e-bae9-2e43bca45c50']","['a5eea967-f809-490e-bae9-2e43bca45c50', 'e86a6d6a-e4e6-4add-bc15-fe994840b5d5', '658c0574-1ddd-4b91-892f-7b56f19b70ad', '37750543-d3d8-4083-936e-78f05516cd6e']"
PT-1014-1139746,Owner Id,"['bbd3b2e2-525f-4394-b0a2-26ba4a33f656', '89140072-fc8a-4e4c-b277-aa28e89d833c', '2cf43494-aad1-4f30-b77c-2d6e1ba6ed26']","['2cf43494-aad1-4f30-b77c-2d6e1ba6ed26', '89140072-fc8a-4e4c-b277-aa28e89d833c', 'bbd3b2e2-525f-4394-b0a2-26ba4a33f656']"
PT-1014-877371,Owner Id,"['13919f76-6158-4dde-9b08-c6e0224d0667', '081d4d76-a242-4a11-a258-acbe51ba8908']","['081d4d76-a242-4a11-a258-acbe51ba8908', '13919f76-6158-4dde-9b08-c6e0224d0667']"
PT-1014-1519470,Owner Id,"['2f95afe4-d82b-4bb3-98db-296d0c18f4dc', '20d78078-e703-4106-9d12-5653954222ad', '8f906af1-f343-4af2-9a83-80f5d05f135c', 'c42699e3-5647-446e-818f-356a8c568c54']","['2f95afe4-d82b-4bb3-98db-296d0c18f4dc', '20d78078-e703-4106-9d12-5653954222ad', 'c42699e3-5647-446e-818f-356a8c568c54', '8f906af1-f343-4af2-9a83-80f5d05f135c']"
PT-1014-1011868,Owner Id,"['82562023-d624-49b9-b800-dfe8276f7462', '6a7d3099-1963-4e5c-96d4-bbccb2a19a97', 'd9fdfc8a-3cfd-4b2c-9d71-3b4dcd9d1b4c']","['6a7d3099-1963-4e5c-96d4-bbccb2a19a97', 'd9fdfc8a-3cfd-4b2c-9d71-3b4dcd9d1b4c', '82562023-d624-49b9-b800-dfe8276f7462']"
PT-1014-1991141,Owner Id,"['78b5c8f4-4991-4f01-8105-049f9372d309', 'b7fb6cf9-64c0-401e-9dd8-4e46fdd74d2d', 'c474f3e4-d3fe-49db-879e-f41935ad8ae7']","['78b5c8f4-4991-4f01-8105-049f9372d309', 'c474f3e4-d3fe-49db-879e-f41935ad8ae7', 'b7fb6cf9-64c0-401e-9dd8-4e46fdd74d2d']"
PT-1014-1159152,Owner Id,"['75763629-9b77-4f18-8d68-01239724c9af', 'ef1062f1-ec30-4e3f-a3ac-96f5b1ccf410']","['ef1062f1-ec30-4e3f-a3ac-96f5b1ccf410', '75763629-9b77-4f18-8d68-01239724c9af']"
PT-1014-1557317,Owner Id,"['06a4f45f-7718-45c2-9121-c3257c44b82d', '17f4d156-2d0a-4005-96e0-6c1c00aeea6d']","['17f4d156-2d0a-4005-96e0-6c1c00aeea6d', '06a4f45f-7718-45c2-9121-c3257c44b82d']"
PT-1014-840756,Owner Id,"['fc9928e3-6f24-494e-99d3-2a7960d838eb', 'bd4d4072-fb99-4451-bf0d-6d0156c1b834', 'dc47dc59-4bbc-41fc-bbc3-cf0dfcbddd2b', '7dbcbdb5-5f4d-43b9-9714-bdab1a59f621']","['fc9928e3-6f24-494e-99d3-2a7960d838eb', 'dc47dc59-4bbc-41fc-bbc3-cf0dfcbddd2b', '7dbcbdb5-5f4d-43b9-9714-bdab1a59f621', 'bd4d4072-fb99-4451-bf0d-6d0156c1b834']"
PT-1014-768965,Owner Id,"['8f124e36-d25c-4f74-9736-ee8776d3093a', '212d78c3-0b5f-464a-afe9-5fb7cd7278b1']","['212d78c3-0b5f-464a-afe9-5fb7cd7278b1', '8f124e36-d25c-4f74-9736-ee8776d3093a']"
PT-1014-1156234,Owner Id,"['ad7f56be-e7d3-4cc3-9308-f9048ec1848f', '2da3fa44-6ce1-4b49-bf06-059203ae2fb1']","['2da3fa44-6ce1-4b49-bf06-059203ae2fb1', 'ad7f56be-e7d3-4cc3-9308-f9048ec1848f']"
PT-1014-1210437,Owner Id,"['024a555c-650d-471e-bd3b-db90299f8848', 'f55fdff4-5781-40e7-901a-fdb2ca350829', '736f9276-44c6-4e63-987f-286e3b128462']","['024a555c-650d-471e-bd3b-db90299f8848', '736f9276-44c6-4e63-987f-286e3b128462', 'f55fdff4-5781-40e7-901a-fdb2ca350829']"
PT-1014-1548193,Owner Id,"['a020240b-36a5-42e6-82d7-a28660319668', '020c28ee-7fe0-4c82-92b7-345aabef4d95', 'c914cc13-14e7-48ec-9b3b-c5a81508c414']","['a020240b-36a5-42e6-82d7-a28660319668', 'c914cc13-14e7-48ec-9b3b-c5a81508c414', '020c28ee-7fe0-4c82-92b7-345aabef4d95']"
