Property ID,Owner Id,Locality,Plot size,Propertyusagetype,Creation date,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,IsDefaulter
PT-1014-1000444,['a12119c7-0c74-4d8b-bb1f-80f5eba95548'],['PLC131'],800.0,RESIDENTIAL,2020-11-10,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
PT-1014-1000458,['feb0c0f5-6ae0-40f1-839b-4974c3d002f1'],['PLC131'],460.0,RESIDENTIAL,2020-11-10,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
PT-1014-1000465,['f9b625e6-1ba5-4e0e-9dd1-a245e5ad6b43'],['PLC81'],140.0,RESIDENTIAL,2020-11-10,,,,,,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
PT-1014-1001321,['07ef887d-bfee-4267-8993-cbef26edaede'],['PLC82'],150.0,RESIDENTIAL,2020-11-13,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
PT-1014-1001702,['fdb17e6c-a902-4b1b-9bf2-447d2d661037'],['PLC51'],400.0,NONRESIDENTIAL.COMMERCIAL,2025-03-28,,,,,,,Yes,Yes,"Demand not generated, hence not paid",Yes,Yes,Yes,Yes
PT-1014-1004687,['d88a6260-c81a-4434-87c6-45409924fc18'],['PLC30'],38.7,NONRESIDENTIAL.COMMERCIAL,2020-12-01,,,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes
PT-1014-1004931,['784e643a-1199-4554-81ae-31cba85ce9de'],['PLC134'],25.0,NONRESIDENTIAL.COMMERCIAL,2020-12-02,,,,,,,Yes,Yes,Yes,Yes,No,Yes,Yes
PT-1014-1005481,['dd10153c-8ca6-4907-b669-7207bb72dc0b'],['PLC145'],31.4,NONRESIDENTIAL.COMMERCIAL,2025-05-08,,,,,,,Yes,Yes,"Demand not generated, hence not paid",Yes,Yes,Yes,Yes
PT-1014-1006269,['9df8b4b2-d79c-4c93-ad1f-66c8ff70dcd4'],['PLC4'],80.0,RESIDENTIAL,2020-12-09,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,"Demand not generated, hence not paid","Demand not generated, hence not paid",Yes,"Demand not generated, hence not paid",Yes
PT-1014-1007250,['5740f6a5-5d03-4f0c-b3d9-2c21b455a0d4'],['PLC210'],200.0,RESIDENTIAL,2025-01-21,,,,,Yes,Yes,Yes,Yes,Yes,"Demand not generated, hence not paid","Demand not generated, hence not paid","Demand not generated, hence not paid",Yes
