Property ID,Differing Columns,File1 Values,File2 Values
PT-1014-052724,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan}"
PT-1014-1000075,"2013-14, 2014-15, 2015-16, 2016-17","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan}"
PT-1014-1000137,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan}"
PT-1014-1000391,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan}"
PT-1014-1000444,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan}"
PT-1014-1000458,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan}"
PT-1014-1000465,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan}"
PT-1014-1001170,"2013-14, 2014-15, 2015-16, 2016-17","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan}"
PT-1014-1001193,2013-14,{'2013-14': nan},{'2013-14': nan}
PT-1014-1001307,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan}"
PT-1014-1001528,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan}"
PT-1014-1001667,"2013-14, 2014-15, 2015-16, 2016-17, 2017-18, 2018-19, 2019-20","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan}","{'2013-14': nan, '2014-15': nan, '2015-16': nan, '2016-17': nan, '2017-18': nan, '2018-19': nan, '2019-20': nan}"
